time_hr,wear_pct,vibration_rms_mm_s,temperature_c,current_a,speed_rpm,rul_hr,label
0.0,0.0,0.1591,29.47,5.014,1501.2,1000.0,healthy
0.5,0.0,0.1188,30.35,5.112,1494.0,999.5,healthy
1.0,0.0,0.1725,30.2,5.071,1501.1,999.0,healthy
1.5,0.0,0.1782,28.88,4.985,1498.0,998.5,healthy
2.0,0.0,0.0915,30.9,4.984,1497.2,998.0,healthy
2.5,0.0,0.1109,29.92,5.023,1499.6,997.5,healthy
3.0,0.0,0.1538,29.11,4.958,1500.8,997.0,healthy
3.5,0.0,0.1405,30.95,5.058,1496.7,996.5,healthy
4.0,0.0,0.1495,30.5,5.018,1501.4,996.0,healthy
4.5,0.0,0.1244,28.99,5.013,1501.5,995.5,healthy
5.0,0.0,0.1764,31.42,5.034,1500.1,995.0,healthy
5.5,0.0,0.1733,30.53,5.086,1498.3,994.5,healthy
6.0,0.0,0.152,29.99,5.009,1498.0,994.0,healthy
6.5,0.0,0.1838,31.27,4.994,1502.1,993.5,healthy
7.0,0.0,0.164,30.13,5.075,1497.0,993.0,healthy
7.5,0.0,0.1242,29.98,5.048,1502.1,992.5,healthy
8.0,0.0,0.1611,29.47,4.984,1499.7,992.0,healthy
8.5,0.0,0.1212,30.47,5.0,1499.8,991.5,healthy
9.0,0.0,0.1764,30.38,5.01,1496.6,991.0,healthy
9.5,0.0,0.1485,30.01,5.018,1499.7,990.5,healthy
10.0,0.0,0.1445,29.37,4.932,1501.2,990.0,healthy
10.5,0.0,0.1296,30.1,4.923,1497.3,989.5,healthy
11.0,0.0,0.1867,29.94,4.956,1501.0,989.0,healthy
11.5,0.0,0.1454,28.93,4.952,1500.2,988.5,healthy
12.0,0.0,0.1372,28.82,4.968,1498.7,988.0,healthy
12.5,0.0,0.1394,30.45,5.032,1501.7,987.5,healthy
13.0,0.0,0.166,27.92,4.992,1495.6,987.0,healthy
13.5,0.0,0.161,30.16,5.01,1500.7,986.5,healthy
14.0,0.0,0.1624,29.62,4.939,1503.2,986.0,healthy
14.5,0.0,0.1629,31.05,4.977,1502.9,985.5,healthy
15.0,0.0,0.2142,29.61,5.029,1500.8,985.0,healthy
15.5,0.0,0.1378,30.53,5.03,1499.4,984.5,healthy
16.0,0.0,0.1346,29.68,4.964,1498.7,984.0,healthy
